 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,Median,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
1,Goldenapple,2886,255,0,255,255,255,51.199,50.129,51.199,50.129,400,0,99,100,100,64.169,57.263,83.907,0.227,141.421,255,28.860,1,0,0,135,100,1.121,0.892,1.000,255,255
2,Goldenapple,2832,255,0,255,255,255,51.867,49.852,51.867,49.852,400,0,99,100,100,63.599,56.696,84.670,0.222,141.421,255,28.320,1,0,0,135,100,1.122,0.891,1.000,255,255
3,Goldenapple,2969,255,0,255,255,255,51.422,50.286,51.422,50.286,400,0,99,100,100,65.015,58.145,84.284,0.233,141.421,255,29.690,1,0,0,135,100,1.118,0.894,1.000,255,255
4,Goldenapple,2969,255,0,255,255,255,51.836,49.990,51.836,49.990,400,0,99,100,100,64.948,58.204,84.261,0.233,141.421,255,29.690,1,0,0,135,100,1.116,0.896,1.000,255,255
5,Goldenapple,2900,255,0,255,255,255,52.354,50.040,52.354,50.040,400,0,99,100,100,64.297,57.427,83.731,0.228,141.421,255,29.000,1,0,0,135,100,1.120,0.893,1.000,255,255
6,Goldenapple,2851,255,0,255,255,255,51.810,49.868,51.810,49.868,400,0,99,100,100,63.936,56.775,83.861,0.224,141.421,255,28.510,1,0,0,135,100,1.126,0.888,1.000,255,255
7,Goldenapple,2947,255,0,255,255,255,51.497,50.332,51.497,50.332,400,0,99,100,100,64.750,57.950,84.598,0.231,141.421,255,29.470,1,0,0,135,100,1.117,0.895,1.000,255,255
8,Goldenapple,2978,255,0,255,255,255,51.893,50.008,51.893,50.008,400,0,99,100,100,65.056,58.283,84.673,0.234,141.421,255,29.780,1,0,0,135,100,1.116,0.896,1.000,255,255
9,Goldenapple,2898,255,0,255,255,255,51.551,50.176,51.551,50.176,400,0,99,100,100,64.301,57.384,84.974,0.228,141.421,255,28.980,1,0,0,135,100,1.121,0.892,1.000,255,255
10,Goldenapple,2897,255,0,255,255,255,51.692,50.095,51.692,50.095,400,0,99,100,100,64.371,57.301,85.333,0.228,141.421,255,28.970,1,0,0,135,100,1.123,0.890,1.000,255,255
11,Goldenapple,2951,255,0,255,255,255,51.220,50.095,51.220,50.095,400,0,99,100,100,64.823,57.963,86.017,0.232,141.421,255,29.510,1,0,0,135,100,1.118,0.894,1.000,255,255
12,Goldenapple,2965,255,0,255,255,255,51.753,50.444,51.753,50.444,400,0,99,100,100,64.850,58.213,86.451,0.233,141.421,255,29.650,1,0,0,135,100,1.114,0.898,1.000,255,255
13,Goldenapple,2913,255,0,255,255,255,51.612,50.227,51.612,50.227,400,0,99,100,100,64.418,57.576,86.176,0.229,141.421,255,29.130,1,0,0,135,100,1.119,0.894,1.000,255,255
14,Goldenapple,2879,255,0,255,255,255,51.497,50.549,51.497,50.549,400,0,99,100,100,64.062,57.220,86.912,0.226,141.421,255,28.790,1,0,0,135,100,1.120,0.893,1.000,255,255
15,Goldenapple,2867,255,0,255,255,255,51.640,50.570,51.640,50.570,400,0,99,100,100,64.045,56.997,87.074,0.225,141.421,255,28.670,1,0,0,135,100,1.124,0.890,1.000,255,255
16,Goldenapple,2874,255,0,255,255,255,51.927,50.752,51.927,50.752,400,0,99,100,100,64.110,57.079,87.059,0.226,141.421,255,28.740,1,0,0,135,100,1.123,0.890,1.000,255,255
17,Goldenapple,2940,255,0,255,255,255,51.586,50.721,51.586,50.721,400,0,99,100,100,64.783,57.783,86.699,0.231,141.421,255,29.400,1,0,0,135,100,1.121,0.892,1.000,255,255
18,Goldenapple,2930,255,0,255,255,255,51.767,50.883,51.767,50.883,400,0,99,100,100,64.592,57.757,87.975,0.230,141.421,255,29.300,1,0,0,135,100,1.118,0.894,1.000,255,255
19,Goldenapple,3003,255,0,255,255,255,50.948,50.369,50.948,50.369,400,0,99,100,100,65.461,58.409,87.691,0.236,141.421,255,30.030,1,0,0,135,100,1.121,0.892,1.000,255,255
20,Goldenapple,2986,255,0,255,255,255,51.120,50.427,51.120,50.427,400,0,99,100,100,65.299,58.223,87.830,0.235,141.421,255,29.860,1,0,0,135,100,1.122,0.892,1.000,255,255
21,Goldenapple,2980,255,0,255,255,255,51.325,50.565,51.325,50.565,400,0,99,100,100,65.240,58.158,87.672,0.234,141.421,255,29.800,1,0,0,135,100,1.122,0.891,1.000,255,255
22,Goldenapple,3051,255,0,255,255,255,50.754,50.583,50.754,50.583,400,0,99,100,100,65.933,58.918,88.436,0.240,141.421,255,30.510,1,0,0,135,100,1.119,0.894,1.000,255,255
23,Goldenapple,2977,255,0,255,255,255,50.524,50.630,50.524,50.630,400,0,99,100,100,65.210,58.126,87.703,0.234,141.421,255,29.770,1,0,0,135,100,1.122,0.891,1.000,255,255
24,Goldenapple,2970,255,0,255,255,255,50.708,50.645,50.708,50.645,400,0,99,100,100,65.146,58.047,88.663,0.233,141.421,255,29.700,1,0,0,135,100,1.122,0.891,1.000,255,255
25,Goldenapple,2910,255,0,255,255,255,50.368,50.850,50.368,50.850,400,0,99,100,100,64.302,57.621,88.533,0.229,141.421,255,29.100,1,0,0,135,100,1.116,0.896,1.000,255,255
26,Goldenapple,2962,255,0,255,255,255,50.825,50.517,50.825,50.517,400,0,99,100,100,64.920,58.092,89.243,0.233,141.421,255,29.620,1,0,0,135,100,1.118,0.895,1.000,255,255
27,Goldenapple,3053,255,0,255,255,255,50.667,50.679,50.667,50.679,400,0,99,100,100,65.740,59.130,89.629,0.240,141.421,255,30.530,1,0,0,135,100,1.112,0.899,1.000,255,255
28,Goldenapple,3050,255,0,255,255,255,50.882,50.695,50.882,50.695,400,0,99,100,100,65.706,59.102,89.609,0.240,141.421,255,30.500,1,0,0,135,100,1.112,0.899,1.000,255,255
29,Goldenapple,3030,255,0,255,255,255,50.769,50.994,50.769,50.994,400,0,99,100,100,65.515,58.886,89.297,0.238,141.421,255,30.300,1,0,0,135,100,1.113,0.899,1.000,255,255
30,Goldenapple,2974,255,0,255,255,255,50.679,50.850,50.679,50.850,400,0,99,100,100,65.025,58.233,89.244,0.234,141.421,255,29.740,1,0,0,135,100,1.117,0.896,1.000,255,255
31,Goldenapple,3019,255,0,255,255,255,50.087,51.064,50.087,51.064,400,0,99,100,100,65.404,58.772,89.756,0.237,141.421,255,30.190,1,0,0,135,100,1.113,0.899,1.000,255,255
32,Goldenapple,2916,255,0,255,255,255,50.317,51.001,50.317,51.001,400,0,99,100,100,64.352,57.695,89.770,0.229,141.421,255,29.160,1,0,0,135,100,1.115,0.897,1.000,255,255
33,Goldenapple,2889,255,0,255,255,255,50.250,51.330,50.250,51.330,400,0,99,100,100,64.123,57.364,90.753,0.227,141.421,255,28.890,1,0,0,135,100,1.118,0.895,1.000,255,255
34,Goldenapple,2896,255,0,255,255,255,50.305,51.438,50.305,51.438,400,0,99,100,100,64.100,57.524,90.611,0.227,141.421,255,28.960,1,0,0,135,100,1.114,0.897,1.000,255,255
35,Goldenapple,2911,255,0,255,255,255,50.460,51.411,50.460,51.411,400,0,99,100,100,64.247,57.690,89.822,0.229,141.421,255,29.110,1,0,0,135,100,1.114,0.898,1.000,255,255
36,Goldenapple,2877,255,0,255,255,255,50.533,51.176,50.533,51.176,400,0,99,100,100,63.949,57.282,90.985,0.226,141.421,255,28.770,1,0,0,135,100,1.116,0.896,1.000,255,255
37,Goldenapple,2866,255,0,255,255,255,50.610,51.308,50.610,51.308,400,0,99,100,100,63.690,57.294,92.183,0.225,141.421,255,28.660,1,0,0,135,100,1.112,0.900,1.000,255,255
38,Goldenapple,2890,255,0,255,255,255,50.660,51.347,50.660,51.347,400,0,99,100,100,63.874,57.608,91.356,0.227,141.421,255,28.900,1,0,0,135,100,1.109,0.902,1.000,255,255
39,Goldenapple,2834,255,0,255,255,255,50.098,51.110,50.098,51.110,400,0,99,100,100,63.324,56.983,91.760,0.223,141.421,255,28.340,1,0,0,135,100,1.111,0.900,1.000,255,255
40,Goldenapple,2850,255,0,255,255,255,50.269,51.249,50.269,51.249,400,0,99,100,100,63.418,57.219,91.365,0.224,141.421,255,28.500,1,0,0,135,100,1.108,0.902,1.000,255,255
41,Goldenapple,2868,255,0,255,255,255,50.298,51.203,50.298,51.203,400,0,99,100,100,63.585,57.430,91.766,0.225,141.421,255,28.680,1,0,0,135,100,1.107,0.903,1.000,255,255
42,Goldenapple,2822,255,0,255,255,255,50.220,51.752,50.220,51.752,400,0,99,100,100,63.044,56.993,92.274,0.222,141.421,255,28.220,1,0,0,135,100,1.106,0.904,1.000,255,255
43,Goldenapple,2890,255,0,255,255,255,50.748,51.360,50.748,51.360,400,0,99,100,100,63.665,57.797,91.858,0.227,141.421,255,28.900,1,0,0,135,100,1.102,0.908,1.000,255,255
44,Goldenapple,2900,255,0,255,255,255,50.547,51.308,50.547,51.308,400,0,99,100,100,63.750,57.920,92.197,0.228,141.421,255,29.000,1,0,0,135,100,1.101,0.909,1.000,255,255
45,Goldenapple,2873,255,0,255,255,255,51.409,51.898,51.409,51.898,400,0,99,100,100,63.403,57.695,92.588,0.226,141.421,255,28.730,1,0,0,135,100,1.099,0.910,1.000,255,255
46,Goldenapple,2756,255,0,255,255,255,50.568,51.693,50.568,51.693,400,0,99,100,100,62.222,56.396,92.405,0.216,141.421,255,27.560,1,0,0,135,100,1.103,0.906,1.000,255,255
47,Goldenapple,2892,255,0,255,255,255,51.466,51.832,51.466,51.832,400,0,99,100,100,63.521,57.969,92.923,0.227,141.421,255,28.920,1,0,0,135,100,1.096,0.913,1.000,255,255
48,Goldenapple,2742,255,0,255,255,255,51.700,52.093,51.700,52.093,400,0,99,100,100,61.921,56.382,92.912,0.215,141.421,255,27.420,1,0,0,135,100,1.098,0.911,1.000,255,255
49,Goldenapple,2761,255,0,255,255,255,51.700,51.797,51.700,51.797,400,0,99,100,100,62.146,56.567,93.340,0.217,141.421,255,27.610,1,0,0,135,100,1.099,0.910,1.000,255,255
50,Goldenapple,2720,255,0,255,255,255,51.227,51.757,51.227,51.757,400,0,99,100,100,61.783,56.054,91.903,0.214,141.421,255,27.200,1,0,0,135,100,1.102,0.907,1.000,255,255
51,Goldenapple,2799,255,0,255,255,255,51.640,51.901,51.640,51.901,400,0,99,100,100,62.518,57.004,93.339,0.220,141.421,255,27.990,1,0,0,135,100,1.097,0.912,1.000,255,255
52,Goldenapple,2727,255,0,255,255,255,52.144,51.983,52.144,51.983,400,0,99,100,100,61.820,56.165,93.696,0.214,141.421,255,27.270,1,0,0,135,100,1.101,0.909,1.000,255,255
53,Goldenapple,2661,255,0,255,255,255,51.515,51.945,51.515,51.945,400,0,99,100,100,61.081,55.469,92.659,0.209,141.421,255,26.610,1,0,0,135,100,1.101,0.908,1.000,255,255
54,Goldenapple,2734,255,0,255,255,255,52.302,52.049,52.302,52.049,400,0,99,100,100,61.900,56.236,91.586,0.215,141.421,255,27.340,1,0,0,135,100,1.101,0.908,1.000,255,255
55,Goldenapple,2698,255,0,255,255,255,51.813,52.336,51.813,52.336,400,0,99,100,100,61.495,55.862,91.756,0.212,141.421,255,26.980,1,0,0,135,100,1.101,0.908,1.000,255,255
56,Goldenapple,2708,255,0,255,255,255,51.367,52.477,51.367,52.477,400,0,99,100,100,61.695,55.887,91.056,0.213,141.421,255,27.080,1,0,0,135,100,1.104,0.906,1.000,255,255
57,Goldenapple,2698,255,0,255,255,255,52.342,52.535,52.342,52.535,400,0,99,100,100,61.625,55.743,91.049,0.212,141.421,255,26.980,1,0,0,135,100,1.106,0.905,1.000,255,255
58,Goldenapple,2651,255,0,255,255,255,53.267,52.296,53.267,52.296,400,0,99,100,100,61.219,55.136,91.646,0.208,141.421,255,26.510,1,0,0,135,100,1.110,0.901,1.000,255,255
59,Goldenapple,2762,255,0,255,255,255,52.866,52.105,52.866,52.105,400,0,99,100,100,62.380,56.375,91.175,0.217,141.421,255,27.620,1,0,0,135,100,1.107,0.904,1.000,255,255
60,Goldenapple,2788,255,0,255,255,255,51.765,52.461,51.765,52.461,400,0,99,100,100,62.561,56.741,90.825,0.219,141.421,255,27.880,1,0,0,135,100,1.103,0.907,1.000,255,255
61,Goldenapple,2773,255,0,255,255,255,51.309,52.682,51.309,52.682,400,0,99,100,100,62.386,56.595,90.498,0.218,141.421,255,27.730,1,0,0,135,100,1.102,0.907,1.000,255,255
62,Goldenapple,2737,255,0,255,255,255,52.199,52.453,52.199,52.453,400,0,99,100,100,62.097,56.120,91.130,0.215,141.421,255,27.370,1,0,0,135,100,1.107,0.904,1.000,255,255
63,Goldenapple,2796,255,0,255,255,255,51.325,52.133,51.325,52.133,400,0,99,100,100,62.891,56.606,90.045,0.220,141.421,255,27.960,1,0,0,135,100,1.111,0.900,1.000,255,255
